likes,retweets,replys,text
0,0,0,Ich als #Klimaleugner werde mich in 50 Jahren zurücklehnen feststellen dass die Erde noch nicht aufgrund des #Klimawandels untergegangen ist und darüber lachen welche Idioten die #Gruenen gewählt haben.
3,1,0,Was für ein Beamten  #Asyl Sumpf in Merkelschland. #Abschiebung von schwerstkriminellen und verurteilten Messermörder dem Iraker Yousif A. (22) wurde seit zwei  2 Jahren verpennt. #BAMF #Seehofer #Refugees #Flüchtling #Messer #Chemnitz
3,3,0,Kein Geld für die Diakonie !!
14,0,0,So, den Kasten mach ich noch leer und dann gehe ich schlafen, Aller!
14,0,0,Wenn man sich von GF trennen will, aber das Coom sich staut
14,4,11,Endlich mal ein Hashtag, für den es sich lohnt, auf die Straße zu geh... äh fahren.#FridaysForHubraum
"8,4,0,Nachtigall ick hör dir trappsen! Jetzt sollte langsam dem letzten ein Licht aufgehen wohin die Reise mit der ""Scheinalternative"" hingeht."
8,0,0,Es ist schon ein komisches Gefühl den Leuten in der Mensa zuzuhören. Man spitzt die Ohren wenn sie über ihre Betrügereien sprechen und dann das Thema auf etwas langweilig Alltägliches wechseln. Studenten sind wahrlich die niedrigste Lebensform.
52,0,12,Na organisiert ihr wieder Hass im Netz ihr Nazi-Trolle?
52,10,14,Die Gründe sind schnell erklärt: Klassische Arbeiter (vereinfacht ausgedrückt) bzw. sog. Proletariat werden als rassistisch und antiemanzipatorisch wahrgenommen weil diese sich mit den weltbürgerlichen Ideen universitärer Linker nicht identifizieren können.
2,0,0,Der Linksradikalismus frisst seine Kinder.#Lifeline #Seenotrettung #SeaWatch3
0,0,0,Aua-nun machen sie den Tweeter für einen Link vom BKA verantwortlich? Implizieren Sie immer sowas um Wahrheiten zu verdrängen?
0,0,0,Dann wird sich die Politik bald an solchen Umfragen orientieren gegen alle gegenteiligen Beteuerungen.
"284,80,0,""Die Bauern haben von eurer Politik die Schnauze voll!"" sagt unser agrarpolitischer Sprecher Stephan @AfDProtschka &amp. fordert eine unbürokratische Unterstützung der Landwirte sowie ein Ende der Tiertransporte ins Ausland bei denen das Tierwohl nicht garantiert werden kann. #AfD"
192,26,0,Warum Menschen zum Italiener essen gehen: Wegen des Essens. Warum Fler zum Italiener essen geht:
1,0,0,Diese Stadt mit ihrem bescheuerten Bürgermeister ist nicht mehr zu helfen! Deswegen laßt euch von den Flüchtlingen ficken!
0,0,0,Machtpoker mit Russland: Alien vs. Predator #Putin #Platzeck #Ukraine #Merkel
0,0,0,Und was macht man da so dagegen? Selbstverständlich! Eine Utopie umsetzen.#PopCornFestival
4322,1913,117,Best thing on net... #CROENG #ENGCRO
0,4,0
0,0,0
0,0,0
45,25,8
0,0,0
42,26,4
0,0,0
0,1,1
328,135,0
0,34,0
0,26,0
0,0,0
1,0,0
3,0,0
1,0,0
4,1,0
279,88,0
12,19,0
0,0,0
0,0,0
14,0,0
"446,353,0,Den #Grünen kann die Flutung Deutschlands nicht schnell genug gehen: Sie fordern die ""verbindliche Umsetzung"" des #Migrationspakt noch bevor er unterschrieben ist!"
1,3,0
39,21,0
7,0,0
3,1,1
0,0,0
0,68,0
0,0,0
24,2,0
831,427,0,Bitte anschauen:Über angebliche syrische Putzfrauen und versagende Leitmedien!#TrauDichDeutschland: #AfD
5,3,0
0,0,0
7,1,0
2,0,2
0,0,0
0,0,0
12,,9,1
1198,419,0
1,0,0
254,146,0
0,0,1
0,73,0
0,0,1
0,95,0
14,5,0
35,29,0
3,0,0
9,12,0
838,424,0
2780,692,0
0,0,0
3,4,0
7219,2036,0
1067,816,0
930,307,0
0,1,9
0,0,0
0,0,0
572,201,0
0,0,0
47,6,0
47,23,0
0,0,1
7,3,3
1,0,0
10439,5961,0,Lost in all this is that Flynn’s charges are rock solid confirmation that @realDonaldTrump was right. Obama was wiretapping Team Trump and most likely sharing the info with Team Hillary. There’s your collusion.
338,179,0
1000,340,0
350,154,0
0,0,2
0,0,0
1101,236,0
0,0,0
0,0,0
863,243,0
0,0,0
2431,368,0
0,0,0
1936,532,0
166,188,0
20,10,0
